Source,Target,Weight_n,Weight
9279008,16191901,14306.582417582418,1301899
4728396,7978583,745.1355236139631,362881
14862237,5127933,1366.7396694214876,330751
7367446,2701588,341.74948024948026,328763
4728396,3399111,653.9301848049281,318464
5127933,14862237,971.9330985915493,276029
4728396,35705552,562.570841889117,273972
264983,3184084,540.7379912663755,247658
16335191,17133819,12222.842105263158,232234
21987980,36180032,785.5324232081912,230161
20232054,26832194,446.7303609341826,210410
56122907,23965423,2733.3698630136987,199536
4728396,2700969,405.32032854209444,197391
27130805,27346022,5743.78125,183801
27130805,27588149,5743.78125,183801
10911471,10463523,2020.5955056179776,179833
41983496,10463523,2097.7831325301204,174116
34766673,10463523,2496.6666666666665,172270
7318424,49494559,681.2246696035243,154638
8173037,35705552,430.8022922636103,150350
4728396,2946171,306.06776180698154,149055
11319931,6534442,184.3569587628866,143061
12310229,5682723,378.2049180327869,138423
22275019,32710951,856.5102040816327,125907
4728396,984460,257.35728952772075,125333
11104040,5682723,439.7077464788732,124877
264983,36653084,267.7227074235808,122617
145462,5682723,348.27953890489914,120853
24902505,12092284,308.14102564102564,120175
28540997,31663626,477.2742616033755,113114
28540997,41983496,477.1645569620253,113088
28540997,10463523,477.15611814345993,113086
28540997,10911471,477.13502109704643,113081
28540997,42277007,477.126582278481,113079
28540997,12301046,477.1223628691983,113078
28540997,26123734,477.1097046413502,113075
28540997,32611599,477.1097046413502,113075
28540997,11439285,477.1054852320675,113074
28540997,34766673,477.1054852320675,113074
28540997,44213747,477.1012658227848,113073
44213747,10463523,1914.396551724138,111035
5104208,5682723,706.8039215686274,108141
26123734,34766673,1633.7424242424242,107827
26123734,41983496,1633.3333333333333,107800
26123734,28540997,1633.2727272727273,107796
26123734,10463523,1633.121212121212,107786
26123734,31663626,1633.121212121212,107786
26123734,11439285,1633.090909090909,107784
26123734,42277007,1632.9545454545455,107775
26123734,12301046,1632.939393939394,107774
26123734,44213747,1632.909090909091,107772
26123734,32611599,1632.8939393939395,107771
26123734,10911471,1632.8636363636363,107769
10911471,42277007,1205.1011235955057,107254
10911471,28540997,1204.9775280898875,107243
10911471,41983496,1204.9550561797753,107241
10911471,31663626,1204.8539325842696,107232
10911471,34766673,1204.8539325842696,107232
10911471,11439285,1204.8202247191011,107229
10911471,12301046,1204.752808988764,107223
10911471,44213747,1204.741573033708,107222
10911471,32611599,1204.7078651685392,107219
10911471,26123734,1204.5955056179776,107209
13704182,18008151,1840.2931034482758,106737
31663626,28540997,1282.0,103842
31663626,44213747,1281.9012345679012,103834
31663626,41983496,1281.530864197531,103804
31663626,26123734,1281.432098765432,103796
31663626,32611599,1281.3456790123457,103789
31663626,34766673,1281.3456790123457,103789
31663626,10463523,1281.320987654321,103787
31663626,10911471,1281.2592592592594,103782
31663626,12301046,1281.2592592592594,103782
31663626,11439285,1281.2469135802469,103781
31663626,42277007,1281.2222222222222,103779
41983496,28540997,1242.132530120482,103097
41983496,32611599,1242.0481927710844,103090
41983496,26123734,1242.0240963855422,103088
41983496,12301046,1242.012048192771,103087
41983496,34766673,1241.9759036144578,103084
41983496,10911471,1241.9397590361446,103081
41983496,31663626,1241.9036144578313,103078
41983496,11439285,1241.8433734939758,103073
41983496,42277007,1241.8072289156626,103070
41983496,44213747,1241.7951807228915,103069
34766673,26123734,1468.4347826086957,101322
34766673,41983496,1468.0,101292
34766673,28540997,1467.8985507246377,101285
34766673,31663626,1467.8985507246377,101285
34766673,32611599,1467.8260869565217,101280
34766673,11439285,1467.7971014492753,101278
34766673,12301046,1467.768115942029,101276
34766673,42277007,1467.7536231884058,101275
34766673,10911471,1467.7246376811595,101273
34766673,44213747,1467.7246376811595,101273
2600924,5682723,288.88115942028986,99664
16191901,9279008,715.589928057554,99467
1472457,35705552,197.61324786324786,92483
5127933,44283910,323.17957746478874,91783
38816004,16390062,765.7310924369748,91122
2946171,30441767,131.75075528700907,87219
8670015,3624734,415.9950738916256,84447
1472457,321575,179.82905982905982,84160
14862237,44283910,330.202479338843,79909
39629376,11319931,283.0935251798561,78700
39629376,6534442,282.294964028777,78478
44515085,22275019,1153.0,77251
46391215,23965423,2389.75,76472
10567170,5682723,431.9122807017544,73857
32081041,56519236,257.4590747330961,72346
3173216,4964590,115.37699680511182,72226
3173216,13969821,112.52555910543131,70441
9279008,6534442,763.2747252747253,69458
47784993,7318424,675.0784313725491,68858
13969821,3173216,137.92985971943887,68827
8670015,883029,334.88669950738915,67982
12301046,10463523,961.8695652173913,66369
18173488,5682723,165.70992366412213,65124
25230870,35705552,159.6822660098522,64831
44213747,31663626,1089.2068965517242,63174
44213747,41983496,1088.9310344827586,63158
44213747,28540997,1088.9137931034484,63157
44213747,12301046,1088.603448275862,63139
44213747,34766673,1088.4655172413793,63131
44213747,42277007,1088.4137931034484,63128
44213747,32611599,1088.396551724138,63127
44213747,26123734,1088.3793103448277,63126
44213747,10911471,1088.3275862068965,63123
